geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.4460307572527 37.76050080805094, -122.4462181575744 37.76048810305656, -122.4462308962347 37.76062505643488, -122.4460464361194 37.76063756149145, -122.4460307572527 37.76050080805094))",San Francisco,2655018,RESIDENT,APTS,149165.0,430945.0,2008.0,1951.0,4108.0,0.0,4.0,2.0,0.0, ,_,RT,250.577900259,958434,91.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.446131543,37.7605627019
"POLYGON ((-122.4600567156094 37.75442063837102, -122.4603021597671 37.75422708979738, -122.4603815031721 37.75429225634947, -122.4601360578475 37.75448580420417, -122.4600567156094 37.75442063837102))",San Francisco,2677017,RESIDENT,SINGLE,34787.0,46627.0,,1959.0,1408.0,0.0,1.0,1.0,0.0, ,_,RT,306.607799876,958918,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",San Francisco,1.0,-122.460219109,37.754356447
"POLYGON ((-122.4508080968001 37.7591642118391, -122.4509748007083 37.75915502130005, -122.4509936430465 37.759420193471, -122.4508308397126 37.75943001791411, -122.4508080968001 37.7591642118391))",San Francisco,2688073,RESIDENT,SINGLE,143692.0,329670.0,,1980.0,3133.0,0.0,1.0,2.0,0.0, ,_,RT,429.673348697,959163,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",San Francisco,1.0,-122.450901761,37.7592918489
"POLYGON ((-122.4522143164721 37.76216164842258, -122.4525219482627 37.76212358581261, -122.4525361803832 37.76219385835701, -122.452228548309 37.76223192100366, -122.4522143164721 37.76216164842258))",San Francisco,2644025,RESIDENT,SINGLE,34070.0,47705.0,1971.0,1921.0,1468.0,0.0,1.0,1.0,0.0, ,_,RT,216.694220693,958061,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.452375248,37.7621777534
"POLYGON ((-122.452228548309 37.76223192100366, -122.4525361803832 37.76219385835701, -122.4525219482627 37.76212358581261, -122.4526244913506 37.76211089750946, -122.4526481902937 37.76222790850004, -122.4526529558313 37.76225144347205, -122.4522427801727 37.76230219358212, -122.452228548309 37.76223192100366))",San Francisco,2644024,RESIDENT,SINGLE,40709.0,40168.0,,1921.0,1250.0,0.0,1.0,1.0,0.0, ,_,RT,361.157470742,958060,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.452468669,37.7622238214
"POLYGON ((-122.4538754641321 37.76194844046312, -122.4542174186779 37.76187544245646, -122.454385417779 37.76183957915811, -122.4543911460683 37.76189054044838, -122.4543955316547 37.76192955842031, -122.4539024196445 37.76202872365274, -122.4538754641321 37.76194844046312))",San Francisco,2642008,RESIDENT,SINGLE,52370.0,16130.0,1972.0,1910.0,1100.0,0.0,1.0,1.0,0.0, ,_,RT,436.366810026,957994,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.454142566,37.7619357146
"POLYGON ((-122.453850171412 37.76187310807654, -122.4539910265366 37.76176489785583, -122.4540342493095 37.76182428586888, -122.4541661164717 37.76179805759316, -122.4542174186779 37.76187544245646, -122.4538754641321 37.76194844046312, -122.453850171412 37.76187310807654))",San Francisco,2642008A,RESIDENT,SINGLE,197457.0,204816.0,1980.0,1910.0,1812.0,0.0,1.0,2.0,0.0, ,_,RT,344.987036757,957995,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.454016528,37.761862898
"POLYGON ((-122.453850171412 37.76187310807654, -122.4538009458814 37.76172649248406, -122.4543167489187 37.76130246303227, -122.4543202354181 37.76133608946051, -122.4543273807277 37.76140501574006, -122.4543345260741 37.76147394291921, -122.4543375867338 37.76150346411109, -122.4543252577586 37.76151292774152, -122.4543486914152 37.76168383708068, -122.4543680591741 37.76168513814175, -122.454385417779 37.76183957915811, -122.4542174186779 37.76187544245646, -122.4541661164717 37.76179805759316, -122.4540342493095 37.76182428586888, -122.4539910265366 37.76176489785583, -122.453850171412 37.76187310807654))",San Francisco,2642010,RESIDENT,SINGLE,106731.0,63135.0,,1910.0,2592.0,0.0,1.0,2.0,0.0, ,_,RT,1711.45618114,957996,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.454143787,37.7616502222
"POLYGON ((-122.4543613608372 37.76126578870196, -122.4544402029907 37.7612009737194, -122.4549316938182 37.76122967830699, -122.4549259686239 37.7612991550947, -122.4543613608372 37.76126578870196))",San Francisco,2642013,RESIDENT,SINGLE,1114268.0,742845.0,2005.0,1986.0,2800.0,0.0,1.0,2.0,0.0, ,_,RT,359.554735494,957997,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",San Francisco,1.0,-122.454664547,37.7612496896
"POLYGON ((-122.4543202354181 37.76133608946051, -122.4543167489187 37.76130246303227, -122.4543613608372 37.76126578870196, -122.4549259686239 37.7612991550947, -122.4549200609676 37.76137084381378, -122.4543202354181 37.76133608946051))",San Francisco,2642014,VACANT,,241330.0,0.0,1972.0,,0.0,685.0,0.0,0.0,0.0, ,_,VAC,419.993942949,957998,91.0,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED-40-X",San Francisco,1.0,-122.454625679,37.7613179792
