geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-121.9944189607351 38.37897157114363, -121.9941639840885 38.37824458576301, -121.9948452859148 38.37815966699701, -121.9948383009215 38.37825817351916, -121.9963298184205 38.37811954888512, -121.9962598942842 38.37802955531242, -121.9971628219917 38.37795174647754, -121.9971851790983 38.37794981813708, -121.9974649142699 38.37838015637688, -121.9978559149137 38.37902554596626, -121.9974154291642 38.37918124964666, -121.9972136973776 38.37924449476009, -121.9970296834431 38.37928736574938, -121.9969274537133 38.37931738033618, -121.9966371217772 38.37941706565861, -121.9954394316679 38.37983575911711, -121.995368646116 38.37985594495061, -121.9951486341064 38.37991868381833, -121.9949013422575 38.37999888228073, -121.9947538916461 38.37968722531902, -121.9944189607351 38.37897157114363))",Solano,129010180,1000,single,148361.0,28210.0,,1963.0,1508.0,0.0,1.0,,0.0, ,_,HS,44808.8047237,1810153,1282.0,Rural (2.5 to 10 acres per unit),Unincorporated Solano,1.0,-121.995916739,38.3788567626
"POLYGON ((-121.9912229650638 38.37728485954222, -121.9918202346303 38.37727985764922, -121.9918684282755 38.37739740510614, -121.991855536518 38.37740247244817, -121.9918234875079 38.37741507262376, -121.9918758885114 38.37764717549734, -121.9918702167453 38.37768978214642, -121.9918121365975 38.37768930003756, -121.9916871013238 38.37763052048093, -121.9912183760211 38.37762662237941, -121.9912229650638 38.37728485954222))",Solano,129010200,1100,multi,65053.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,2176.03437234,1810155,1282.0,Incorporated Area,Unincorporated Solano,1.0,-121.991544013,38.3774636375
"POLYGON ((-121.9912136697565 38.37797724797354, -121.9912183760211 38.37762662237941, -121.9916871013238 38.37763052048093, -121.9918121365975 38.37768930003756, -121.9918702167453 38.37768978214642, -121.9918624231972 38.37774830759283, -121.991844344608 38.37788103122414, -121.9918189636418 38.37799278541463, -121.9912136697565 38.37797724797354))",Solano,129010210,1100,multi,59868.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,2127.77019982,1810156,1282.0,Incorporated Area,Unincorporated Solano,1.0,-121.991527011,38.3778097912
"POLYGON ((-121.9902912410185 38.37729265795738, -121.9912229650638 38.37728485954222, -121.9912183760211 38.37762662237941, -121.9912136697565 38.37797724797354, -121.991197319058 38.37797682777132, -121.9904748719855 38.3779582786908, -121.9904470804005 38.37788977416864, -121.9903934516418 38.37767011271079, -121.9902912410185 38.37729265795738))",Solano,129010220,1000,single,299000.0,731000.0,,2003.0,4919.0,0.0,1.0,,0.0, ,_,HS,5514.1816895,1810157,1282.0,Incorporated Area,Unincorporated Solano,1.0,-121.990800612,38.3776154748
"POLYGON ((-121.991153256849 38.37544961890881, -121.9926983502138 38.37479067026699, -121.9929279524962 38.37511471516054, -121.9913379375812 38.37585046614502, -121.991153256849 38.37544961890881))",Solano,129020010,1000,single,164990.0,220424.0,,1960.0,1714.0,0.0,1.0,,0.0, ,_,HS,6911.97701646,1810158,1282.0,899 - Low Density Residential (2 to 7 units per acre),Fairfield,1.0,-121.992013827,38.3753099953
"POLYGON ((-121.9917482799436 38.37311121737373, -121.9918368672806 38.37299244245422, -121.9923995298349 38.37393187712345, -121.9922675038337 38.37420078084524, -121.9924104937402 38.37443384829655, -121.9909508931208 38.37495708317308, -121.9908499732239 38.37474431977495, -121.9908392744639 38.37472545182039, -121.9921364392088 38.37429308162614, -121.9918847489391 38.3738357084172, -121.9917290945435 38.37314038971846, -121.9917482799436 38.37311121737373))",Solano,129020030,1000,single,20940.0,120574.0,,1962.0,2930.0,0.0,1.0,,0.0, ,_,HS,7289.45006847,1810160,1282.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-121.99183235,38.3741344686
"POLYGON ((-121.9957055795272 38.37728264596884, -121.9957779353753 38.37727101907596, -121.9962598942842 38.37802955531242, -121.9963298184205 38.37811954888512, -121.9948383009215 38.37825817351916, -121.9948452859148 38.37815966699701, -121.9948202571167 38.37731897732822, -121.99489543263 38.37731532816199, -121.9951560981251 38.37730506933178, -121.9954469144749 38.37729304389635, -121.9957055795272 38.37728264596884))",Solano,129010170,1000,single,86798.0,69686.0,,1992.0,1560.0,0.0,1.0,,0.0, ,_,HS,10752.2682621,1810152,1282.0,Residential Estate,Vacaville,1.0,-121.995446004,38.3777767205
"POLYGON ((-121.9945854827183 38.37733036414501, -121.9948202571167 38.37731897732822, -121.9948452859148 38.37815966699701, -121.9941639840885 38.37824458576301, -121.9941153908574 38.37811187104056, -121.9940883259645 38.37795974058926, -121.9938756009535 38.3775124679637, -121.9938514834276 38.37736301162896, -121.9940140507214 38.37735560407753, -121.994437259715 38.37734780003486, -121.9945648249867 38.3773454118722, -121.9945854827183 38.37733036414501))",Solano,129010160,9800,,0.0,0.0,,,0.0,0.0,,,0.0, ,_,GV,6966.65857418,1810151,1282.0,Residential Estate,Vacaville,1.0,-121.994408854,38.3777477272
"POLYGON ((-121.9935810967733 38.37332922780715, -121.9944791363509 38.3729164009812, -121.9950537718716 38.37411117591513, -121.9931222505174 38.37501495617924, -121.9929279524962 38.37511471516054, -121.9926983502138 38.37479067026699, -121.9924104937402 38.37443384829655, -121.9922675038337 38.37420078084524, -121.9923995298349 38.37393187712345, -121.9932351149125 38.37350638310089, -121.9935810967733 38.37332922780715))",Solano,129020040,1000,single,37692.0,27672.0,,1920.0,1494.0,0.0,1.0,,0.0, ,_,HS,31323.7742621,1810161,1282.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-121.993660831,38.374030145
"POLYGON ((-121.9848989503334 38.37276055244528, -121.9849586550311 38.37178470918229, -121.9853562570379 38.37181210073417, -121.9852252089778 38.37283125070501, -121.9848989503334 38.37276055244528))",Solano,129070220,1000,single,139000.0,296000.0,,1990.0,2508.0,0.0,1.0,,0.0, ,_,HS,3547.30535606,1810221,1282.0,Incorporated Area,Unincorporated Solano,1.0,-121.985112806,38.3722821305
