geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-121.790732989835 37.32269953466889, -121.7910924704967 37.32269169419329, -121.7910971906779 37.32286064917014, -121.790740140606 37.32286670622499, -121.790732989835 37.32269953466889))",Santa Clara,65918003,RSFR,single,324492.6875,169032.3125,2006.0,1967.0,1463.0,0.0,1.0,1.0,0.0,003012REMINGTON95148,_,HS,592.648483766,1639099,649.0,Residential Neighborhood,San Jose,1.0,-121.790916003,37.3227795427
"POLYGON ((-121.7889048598734 37.3184977371828, -121.7890986122684 37.31846833848327, -121.7891655549431 37.31874870422731, -121.7890092712915 37.3187717928929, -121.7889790544818 37.31877625731301, -121.7889048598734 37.3184977371828))",Santa Clara,65912071,RSFR,single,277615.44,212784.56,2004.0,1971.0,1310.0,0.0,1.0,1.0,0.0,002905CROFT95148,_,HS,542.381507771,1638803,649.0,Residential Neighborhood,San Jose,1.0,-121.789036832,37.3186218422
"POLYGON ((-121.7903261447953 37.31977660202796, -121.7906792306406 37.3197167077122, -121.7906826574684 37.31972945212652, -121.790721267263 37.31987308664099, -121.7903693362174 37.31993188844216, -121.7903261447953 37.31977660202796))",Santa Clara,65912006,RSFR,single,58899.1296,155123.8704,1994.0,1971.0,1538.0,0.0,1.0,1.0,0.0,003105EDENBANK95148,_,HS,565.218028723,1638738,649.0,Residential Neighborhood,San Jose,1.0,-121.790524143,37.3198244927
"POLYGON ((-121.7903693362174 37.31993188844216, -121.790721267263 37.31987308664099, -121.7907622940454 37.32002571341955, -121.7904109530853 37.32008242213565, -121.7903982034132 37.320035664184, -121.7903693362174 37.31993188844216))",Santa Clara,65912005,RSFR,single,17206.2451,41060.7549,,1971.0,1298.0,0.0,1.0,1.0,0.0,003095EDENBANK95148,_,HS,547.637352571,1638737,649.0,Residential Neighborhood,San Jose,1.0,-121.790566363,37.3199781679
"POLYGON ((-121.7904109530853 37.32008242213565, -121.7907622940454 37.32002571341955, -121.7907640496866 37.32003224360736, -121.7908044026245 37.32018236740733, -121.7904546091971 37.32024254657864, -121.7904109530853 37.32008242213565))",Santa Clara,65912004,RSFR,single,17205.6328,41778.3672,1986.0,1971.0,1358.0,0.0,1.0,1.0,0.0,003085EDENBANK95148,_,HS,570.830668345,1638736,649.0,Residential Neighborhood,San Jose,1.0,-121.790607401,37.3201333502
"POLYGON ((-121.7904546091971 37.32024254657864, -121.7908044026245 37.32018236740733, -121.7908091766588 37.32020012316979, -121.7908463632506 37.32033846738243, -121.7904967900296 37.32039687792005, -121.7904673021104 37.32028909969093, -121.7904546091971 37.32024254657864))",Santa Clara,65912003,RSFR,single,184100.0,341900.0,2004.0,1971.0,1310.0,0.0,1.0,1.0,0.0,003075EDENBANK95148,_,HS,558.44603805,1638735,649.0,Residential Neighborhood,San Jose,1.0,-121.790650838,37.3202899881
"POLYGON ((-121.7904967900296 37.32039687792005, -121.7908463632506 37.32033846738243, -121.7908532595073 37.32036411592053, -121.7908888091077 37.32049636779004, -121.7905395996754 37.32055335712271, -121.7904967900296 37.32039687792005))",Santa Clara,65912002,RSFR,single,162969.132,217799.868,1998.0,1971.0,1457.0,0.0,1.0,1.0,0.0,003065EDENBANK95148,_,HS,564.416882677,1638734,649.0,Residential Neighborhood,San Jose,1.0,-121.790693125,37.3204462007
"POLYGON ((-121.7905395996754 37.32055335712271, -121.7908888091077 37.32049636779004, -121.7908909034171 37.32050415988596, -121.7909381107401 37.3206797751602, -121.7906653630564 37.32072213734451, -121.7906463483443 37.32072231738508, -121.7906302840686 37.32072039021705, -121.7906155297333 37.32071570800839, -121.7906036489425 37.3207087863368, -121.7905977851179 37.32070041705782, -121.7905915951052 37.32069305003215, -121.790578508384 37.32067664178826, -121.7905680477965 37.32065732974425, -121.7905395996754 37.32055335712271))",Santa Clara,65912001,RSFR,single,382434.9,160565.1,2009.0,1971.0,1538.0,0.0,1.0,1.0,0.0,003055EDENBANK95148,_,HS,638.24738894,1638733,649.0,Residential Neighborhood,San Jose,1.0,-121.790742326,37.320613684
"POLYGON ((-121.7886552777956 37.31947841060195, -121.7886388214974 37.31941984202673, -121.7889457413322 37.31922652754023, -121.7889531622376 37.31923412719553, -121.7889775402855 37.31925182059194, -121.7890177734701 37.31926576782809, -121.7890423409977 37.31927138427157, -121.788985814474 37.31954791774839, -121.7886886685772 37.31959725773737, -121.7886552777956 37.31947841060195))",Santa Clara,65912023,RSFR,single,109807.1142,183951.8858,,1971.0,1457.0,0.0,1.0,1.0,0.0,002937EDENBANK95148,_,HS,932.632554848,1638755,649.0,Residential Neighborhood,San Jose,1.0,-121.788851773,37.3194273449
"POLYGON ((-121.7902843446229 37.31962306389557, -121.7906380462598 37.31956349180354, -121.7906637321602 37.31965904858072, -121.7906792306406 37.3197167077122, -121.7903261447953 37.31977660202796, -121.790305619308 37.31970281456707, -121.7902843446229 37.31962306389557))",Santa Clara,65912007,RSFR,single,116355.54,120139.46,1997.0,1971.0,1358.0,0.0,1.0,1.0,0.0,003115EDENBANK95148,_,HS,557.871890563,1638739,649.0,Residential Neighborhood,San Jose,1.0,-121.790481754,37.3196699796
