geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.2572058121928 37.81476745406173, -122.2573611563751 37.81468011803408, -122.2575909804427 37.81492196957002, -122.2574587139314 37.81499633243126, -122.257423288146 37.81501630190974, -122.257413826498 37.81498987025473, -122.2572058121928 37.81476745406173))",Alameda,010 079500909,7700,multi,135130.0,400244.0,2001.0,,7050.0,0.0,6.0,2.0,0.0, ,_,HM,569.14490794,8860,941.0,Mixed Housing Type,Oakland,1.0,-122.257398161,37.8148457921
"POLYGON ((-122.2534433063859 37.81511157741443, -122.2539002526687 37.81498345198277, -122.2539579016135 37.815113713226, -122.2535006216703 37.81524108011875, -122.2534433063859 37.81511157741443))",Alameda,010 078900300,7700,multi,535000.0,1250000.0,2007.0,1962.0,10925.0,0.0,17.0,4.0,0.0, ,_,HM,651.917232417,8642,941.0,Mixed Housing Type,Oakland,1.0,-122.253700743,37.8151123935
"POLYGON ((-122.2511771161913 37.81308312813199, -122.2511746626858 37.81305587530267, -122.2511716143825 37.8130286640692, -122.251171076717 37.81302466458495, -122.2517195368544 37.81287453265391, -122.2517654004447 37.81297818612943, -122.2517768694787 37.81300409657324, -122.2511927898431 37.81316398658932, -122.2511871047324 37.81313771868603, -122.2511818118432 37.81311045781939, -122.2511771161913 37.81308312813199))",Alameda,010 078501600,2700,multi,43721.0,102017.0,1998.0,1912.0,2732.0,0.0,4.0,0.0,0.0, ,_,HT,806.118939417,8520,941.0,Urban Residential,Oakland,1.0,-122.251464465,37.8130177518
"POLYGON ((-122.2511927898431 37.81316398658932, -122.2517768694787 37.81300409657324, -122.2518227367346 37.81310774962334, -122.2518800733645 37.81323731900972, -122.2518915393383 37.81326322669923, -122.2512621890546 37.81343551030045, -122.2512077048669 37.81322309601043, -122.2511994849577 37.81319200080225, -122.2511929990295 37.81316490125859, -122.2511927898431 37.81316398658932))",Alameda,010 078501502,7700,multi,341331.0,635555.0,2009.0,,31236.0,0.0,36.0,3.0,0.0, ,_,HM,1722.82542026,8519,941.0,Urban Residential,Oakland,1.0,-122.251531352,37.8132183617
"POLYGON ((-122.2512621890546 37.81343551030045, -122.2518915393383 37.81326322669923, -122.2519374099971 37.81336688000242, -122.2519488761425 37.81339279326083, -122.2512970023933 37.81357124273861, -122.2512621890546 37.81343551030045))",Alameda,010 078501402,2500,multi,300000.0,150000.0,2003.0,1912.0,2959.0,0.0,2.0,0.0,0.0, ,_,HT,909.35843193,8518,941.0,Urban Residential,Oakland,1.0,-122.251600037,37.8134160819
"POLYGON ((-122.2512970023933 37.81357124273861, -122.2519488761425 37.81339279326083, -122.2519947469614 37.81349644653916, -122.2520062131468 37.81352235979135, -122.2513517238615 37.81370152392412, -122.2513067569203 37.81359990900034, -122.2513038303736 37.81359326416323, -122.2513009636735 37.81358667908807, -122.2512970023933 37.81357124273861))",Alameda,010 078501302,1100,single,275000.0,0.0,2003.0,1923.0,1833.0,0.0,1.0,1.5,0.0, ,_,HS,928.831508845,8517,941.0,Urban Residential,Oakland,1.0,-122.251650384,37.8135471517
"POLYGON ((-122.2513517238615 37.81370152392412, -122.2520062131468 37.81352235979135, -122.2520520840518 37.81362600990886, -122.2520979520761 37.81372966283972, -122.2521380886364 37.81382035963205, -122.2521782252207 37.81391105327318, -122.2515237294185 37.81409021874773, -122.2514434612012 37.81390882817136, -122.2513517238615 37.81370152392412))",Alameda,010 078501201,6600,,1241545.0,503981.0,2007.0,,0.0,0.0,0.0,0.0,0.0, ,_,OF,2787.12526226,8516,941.0,Urban Residential,Oakland,1.0,-122.251764973,37.8138062891
"POLYGON ((-122.2515237294185 37.81409021874773, -122.2521782252207 37.81391105327318, -122.252224097111 37.81401470609718, -122.2522929013956 37.81417018291233, -122.2516384035858 37.81434934901436, -122.2515237294185 37.81409021874773))",Alameda,010 078501000,8802,,390375.0,1171125.0,1994.0,1961.0,12495.0,12495.0,0.0,1.0,0.0, ,_,OF,1858.09777542,8515,941.0,Urban Residential,Oakland,1.0,-122.251908315,37.814130201
"POLYGON ((-122.2516384035858 37.81434934901436, -122.2522929013956 37.81417018291233, -122.2523101025303 37.81420905289311, -122.2523502396007 37.81429974925661, -122.2516957403478 37.81447891567886, -122.2516384035858 37.81434934901436))",Alameda,010 078500900,2700,multi,256084.0,597531.0,2003.0,1918.0,4797.0,0.0,4.0,1.5,0.0, ,_,HT,929.057626374,8514,941.0,Urban Residential,Oakland,1.0,-122.251994321,37.8143245493
"POLYGON ((-122.2518104157158 37.81473804575917, -122.2524649165372 37.81455887871598, -122.2525250277172 37.81469471317395, -122.2518705262826 37.81487388053952, -122.2518104157158 37.81473804575917))",Alameda,010 078500702,7700,multi,685000.0,1595000.0,2007.0,1964.0,12204.0,0.0,19.0,3.0,0.0, ,_,HM,974.001544709,8512,941.0,Urban Residential,Oakland,1.0,-122.252167722,37.8147163796
"POLYGON ((-122.2516957403478 37.81447891567886, -122.2523502396007 37.81429974925661, -122.2523789068018 37.81436453244643, -122.2524649165372 37.81455887871598, -122.2518104157158 37.81473804575917, -122.2516957403478 37.81447891567886))",Alameda,010 078500800,7700,multi,167304.0,315305.0,2006.0,,8476.0,0.0,10.0,1.0,0.0, ,_,HM,1858.09365102,8513,941.0,Urban Residential,Oakland,1.0,-122.252080328,37.8145188976
"POLYGON ((-122.2566404816903 37.81446304705252, -122.2568663314012 37.81433581073559, -122.2570977695806 37.81460604107163, -122.2568717694003 37.81473310159394, -122.2566404816903 37.81446304705252))",Alameda,010 079603001,7700,multi,476276.0,1415730.0,1999.0,,20635.0,0.0,22.0,4.0,0.0, ,_,HM,883.863264997,8930,941.0,Mixed Housing Type,Oakland,1.0,-122.2568691,37.8145344932
"POLYGON ((-122.2562659103659 37.814272857699, -122.2567474469167 37.81400152661127, -122.2569792542466 37.814272194008, -122.2568663314012 37.81433581073559, -122.2566404816903 37.81446304705252, -122.2564976914077 37.81454349329217, -122.2562659103659 37.814272857699))",Alameda,010 079607300,7390,multi,0.0,0.0,1976.0,,0.0,0.0,1.0,0.0,0.0, ,_,VAC,1888.14312636,8931,941.0,Mixed Housing Type,Oakland,1.0,-122.25662258,37.8142725148
"POLYGON ((-122.2548275082211 37.81466186797938, -122.2549459402304 37.81459495435323, -122.2550769312223 37.81474087107029, -122.2549584349082 37.81480770874804, -122.2548275082211 37.81466186797938))",Alameda,010 078901802,2400,multi,240000.0,560000.0,2009.0,1951.0,2816.0,0.0,4.0,2.0,0.0, ,_,HT,254.453833036,8650,941.0,Mixed Housing Type,Oakland,1.0,-122.254952208,37.8147013474
"POLYGON ((-122.2536211713975 37.81451782182928, -122.2534344675715 37.8146231794836, -122.2533516999572 37.8144361798289, -122.2535621054895 37.81438454059499, -122.2536211713975 37.81451782182928))",Alameda,010 078700102,2400,multi,222429.0,251196.0,2004.0,1957.0,5044.0,0.0,4.0,2.0,0.0, ,_,HT,365.1130755,8588,941.0,Mixed Housing Type,Oakland,1.0,-122.253486816,37.8144926285
"POLYGON ((-122.2558758900052 37.81449261797109, -122.2561076495878 37.81476323266818, -122.2561040923266 37.81476523585931, -122.2561793524902 37.81485310891376, -122.2558697574728 37.81502716839977, -122.2558371126315 37.81498775429352, -122.2557714682377 37.81490620380161, -122.2557076310738 37.81482375844317, -122.2556456086745 37.81474043971995, -122.2555854320758 37.81465627819519, -122.2558758900052 37.81449261797109))",Alameda,010 079615700,7390,multi,0.0,0.0,1985.0,1985.0,40109.0,0.0,36.0,4.0,0.0, ,_,VAC,1576.24785611,8934,941.0,Mixed Housing Type,Oakland,1.0,-122.255878183,37.8147596796
