geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.1133091756145 37.69512494480218, -122.1135570861471 37.69492068991032, -122.1138677214898 37.69513789241286, -122.113606201165 37.69535229186899, -122.1133091756145 37.69512494480218))",Alameda,080 006401305,3100,,262230.0,699382.0,2007.0,,5552.0,5552.0,0.0,1.0,0.0, ,_,RS,1176.61333077,174350,854.0,116 - General Commercial/Medium & High Density Residential allowed,Cherryland,1.0,-122.113586379,37.6951348573
"POLYGON ((-122.1161456717034 37.69974768556847, -122.1164882250678 37.69944427180391, -122.1166128431906 37.69953148830796, -122.1162906043461 37.69981539614526, -122.116304666824 37.69982619058495, -122.1162097060977 37.69991058380917, -122.1160973701158 37.69983178172988, -122.1161719980186 37.69976620844584, -122.1161456717034 37.69974768556847))",Alameda,080 005404403,2100,multi,94774.0,214239.0,2009.0,1952.0,946.0,0.0,1.0,1.0,0.0, ,_,HS,794.121590381,174183,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.116347927,37.6996728416
"POLYGON ((-122.1132370405843 37.70135975286315, -122.1134405131726 37.701177737875, -122.1135558050918 37.70107418427503, -122.1136473661511 37.70099224319531, -122.1137389199976 37.70090995880403, -122.1138321533567 37.70082559096254, -122.1139237322149 37.70074433608335, -122.1142765433206 37.70099220459974, -122.1140569616186 37.70118862037823, -122.1139323392148 37.70130009796741, -122.1138848640417 37.70134263685652, -122.1138409633553 37.70131096386914, -122.1137075940458 37.70121871398977, -122.113414288226 37.70148264672954, -122.1132370405843 37.70135975286315))",Alameda,080 005102701,7700,multi,255500.0,514154.0,2001.0,,11700.0,0.0,15.0,2.0,0.0, ,_,HM,2969.96894388,174081,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.113786581,37.7011104755
"POLYGON ((-122.1145119542865 37.70275893416532, -122.1147154087358 37.70257588761521, -122.1147364802965 37.70259104915604, -122.1148523275691 37.7026722073912, -122.11471498787 37.70279529233078, -122.1146260657047 37.70283977308175, -122.1145119542865 37.70275893416532))",Alameda,080 004804000,1100,single,118500.0,276500.0,2005.0,1930.0,1100.0,0.0,1.0,1.0,0.0, ,_,HS,425.029225169,174057,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.114682473,37.7027124977
"POLYGON ((-122.118403399114 37.70039822674734, -122.118528841643 37.70028491491746, -122.1187868599059 37.70046540289263, -122.1186631458361 37.70057869158775, -122.118403399114 37.70039822674734))",Alameda,080 005701000,1100,single,87000.0,203000.0,2004.0,1948.0,904.0,0.0,1.0,1.0,0.0, ,_,HS,507.098944536,174209,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.118595391,37.7004317519
"POLYGON ((-122.1123686867988 37.69981593699857, -122.1124230511573 37.69977227403287, -122.1125371504523 37.69969346135677, -122.1125969287282 37.69974002207432, -122.1127006432143 37.69981997550668, -122.1126810837293 37.69987449207437, -122.1126521997381 37.69989754842295, -122.1125655621142 37.69996740424708, -122.1124179150719 37.69985440463553, -122.1123686867988 37.69981593699857))",Alameda,080 006305800,1100,single,111000.0,259000.0,2008.0,1994.0,1626.0,0.0,1.0,1.5,0.0, ,_,HS,469.999002579,174322,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.112544838,37.6998286691
"POLYGON ((-122.1109992004182 37.69899382037231, -122.1111197950118 37.69889568994968, -122.1114660925867 37.69916288328928, -122.1113455133323 37.69926170052348, -122.1109992004182 37.69899382037231))",Alameda,080 006905200,1100,single,92100.0,214900.0,2005.0,1946.0,1040.0,0.0,1.0,1.0,0.0, ,_,HS,649.493389127,174476,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.111232739,37.6990786125
"POLYGON ((-122.112261927057 37.7016467778375, -122.1123356541603 37.70169863622239, -122.112476239623 37.70179752169437, -122.1126372353805 37.70191076441832, -122.1125777554514 37.70196414608382, -122.1122760931805 37.70171095699864, -122.1122707276497 37.70170645346117, -122.1122630866342 37.701699387386, -122.1122571013071 37.70169137663436, -122.1122529525626 37.70168266331574, -122.1122507657879 37.70167351077317, -122.1122506070732 37.70166419562431, -122.1122524812145 37.70165499940124, -122.1122580777714 37.70165012864216, -122.112261927057 37.7016467778375))",Alameda,080 004802103,1000,multi,170.0,0.0,1979.0,,0.0,0.0,1.0,0.0,0.0, ,_,HS,259.626859119,174036,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.112449792,37.701816013
"POLYGON ((-122.1165113403878 37.70376704521037, -122.1167019604269 37.70386846285604, -122.1165368342694 37.7040650638521, -122.1164273158887 37.70419566596421, -122.1162488739418 37.70409785709416, -122.1165113403878 37.70376704521037))",Alameda,080 004800700,1100,single,87641.0,204497.0,2006.0,1947.0,2600.0,0.0,1.0,1.0,0.0, ,_,HS,855.775889356,174032,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.116473726,37.7039807377
"POLYGON ((-122.1140914858992 37.7031372294174, -122.1143627450995 37.70289248145329, -122.1145294804061 37.70300865072702, -122.1142682578351 37.70323781072321, -122.1140914858992 37.7031372294174))",Alameda,080 004803303,2300,multi,195000.0,455000.0,2006.0,1971.0,3400.0,0.0,3.0,2.0,0.0, ,_,HT,680.659866864,174048,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.114312783,37.7030680511
"POLYGON ((-122.1135581255808 37.70277406585036, -122.1141870285716 37.7022033881959, -122.1143608080791 37.70232564153375, -122.1140556796022 37.70260243846996, -122.113723406982 37.70290295747855, -122.1136407695293 37.70283851304257, -122.1135581255808 37.70277406585036))",Alameda,080 004803702,7700,multi,325000.0,655000.0,2004.0,,5588.0,0.0,7.0,2.0,0.0, ,_,HM,1731.7481957,174054,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.113957788,37.7025515061
"POLYGON ((-122.113723406982 37.70290295747855, -122.1140556796022 37.70260243846996, -122.114141739472 37.70266512461373, -122.1138128930739 37.70296422322579, -122.1137778180539 37.70294101265753, -122.113723406982 37.70290295747855))",Alameda,080 004803607,1000,multi,150000.0,0.0,2005.0,,0.0,0.0,1.0,0.0,0.0, ,_,HS,458.374896173,174053,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.113932925,37.7027840632
"POLYGON ((-122.1143627450995 37.70289248145329, -122.1144254751056 37.7028359995228, -122.1145119542865 37.70275893416532, -122.1146260657047 37.70283977308175, -122.11471498787 37.70279529233078, -122.1148523275691 37.7026722073912, -122.1148821662488 37.7026930860948, -122.1146159855655 37.70293261564349, -122.1145888513211 37.70295667811755, -122.1145294804061 37.70300865072702, -122.1143627450995 37.70289248145329))",Alameda,080 004804100,1100,single,81000.0,189000.0,2010.0,1970.0,882.0,0.0,1.0,1.0,0.0, ,_,HS,495.189435625,174058,854.0,116 - Medium Density Residential,Cherryland,1.0,-122.114571285,37.7028616224
