geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.1017425041026 37.63683656672673, -122.1017459781877 37.63682795342, -122.101748731595 37.63682112795989, -122.1018405734312 37.63659342606973, -122.1018434953466 37.6365944093355, -122.101845189495 37.63659496245295, -122.1018452000789 37.63659496544597, -122.1018731305962 37.63660239519749, -122.1018793841724 37.63660364542264, -122.101879549204 37.63660367628978, -122.101880126599 37.63660378450199, -122.1018806084656 37.63660387344935, -122.1018808095708 37.63660391044818, -122.101881178329 37.63660397792989, -122.1018829757362 37.63660429854163, -122.1019166680574 37.63660819380969, -122.1019334136286 37.63660867551965, -122.101979474029 37.63660869190307, -122.1019793473748 37.63683665111702, -122.1017482421107 37.63683656878983, -122.1017425041026 37.63683656672673))",Alameda,441 010100800,1100,single,165000.0,385000.0,2009.0,2008.0,2266.0,0.0,1.0,2.0,0.0, ,_,HS,431.529622903,273047,811.0,LDR,Hayward,1.0,-122.101881858,37.6367302359
"POLYGON ((-122.1019793473748 37.63683665111702, -122.101979474029 37.63660869190307, -122.1021359290452 37.63660874728811, -122.102138901592 37.636608953355, -122.1021417851504 37.63660956329906, -122.1021444936189 37.63661055890761, -122.1021469461237 37.63661191045223, -122.1021490694342 37.63661357757643, -122.1021508001493 37.63661551050068, -122.1021520865906 37.63661765150868, -122.1021528903454 37.63661993667091, -122.1021531874141 37.63662229775345, -122.1021567553089 37.63683671436537, -122.1019793473748 37.63683665111702))",Alameda,441 010100700,800,multi,158302.0,0.0,2010.0,2008.0,2445.0,0.0,1.0,2.0,1.0, ,_,VT,391.260920747,273046,811.0,LDR,Hayward,1.0,-122.102067035,37.636723267
"POLYGON ((-122.1022602923542 37.63683675078792, -122.1022581277461 37.63670667892563, -122.1025222154169 37.63670389968549, -122.1025343876753 37.63670377155761, -122.1025364563941 37.63682804528047, -122.1025364976441 37.63683146694309, -122.1025365515835 37.63683594598314, -122.102536562248 37.63683684827613, -122.1022602923542 37.63683675078792))",Alameda,441 010100600,800,multi,134979.0,0.0,2010.0,2008.0,2445.0,0.0,1.0,2.0,1.0, ,_,VT,356.097619399,273045,811.0,LDR,Hayward,1.0,-122.102397878,37.6367710094
"POLYGON ((-122.1022581277461 37.63670667892563, -122.1022559565447 37.63657623941346, -122.1025322159597 37.63657333065659, -122.1025336350104 37.63665856229531, -122.1025343876753 37.63670377155761, -122.1025222154169 37.63670389968549, -122.1022581277461 37.63670667892563))",Alameda,441 010100500,800,multi,133817.0,0.0,2010.0,2008.0,2266.0,0.0,1.0,2.0,1.0, ,_,VT,353.029961344,273044,811.0,LDR,Hayward,1.0,-122.102395172,37.6366400052
"POLYGON ((-122.1022559565447 37.63657623941346, -122.1022537861972 37.63644579849312, -122.1025300438285 37.63644289045613, -122.1025310151334 37.63650122444831, -122.1025322159597 37.63657333065659, -122.1022559565447 37.63657623941346))",Alameda,441 010100400,800,multi,133817.0,0.0,2010.0,2008.0,2445.0,0.0,1.0,2.0,1.0, ,_,VT,353.029971925,273043,811.0,LDR,Hayward,1.0,-122.102393,37.6365095648
"POLYGON ((-122.1022537861972 37.63644579849312, -122.10225231097 37.63635716909599, -122.1022521965828 37.63635028890812, -122.1022759315317 37.63631515195391, -122.1022759659516 37.63631510164024, -122.1025278721357 37.63631244989887, -122.1025283515396 37.63634124540889, -122.1025300438285 37.63644289045613, -122.1022537861972 37.63644579849312))",Alameda,441 010100300,800,multi,132232.0,0.0,2010.0,2008.0,2445.0,0.0,1.0,2.0,1.0, ,_,VT,348.862597422,273042,811.0,LDR,Hayward,1.0,-122.102392393,37.6363797478
"POLYGON ((-122.1021504416901 37.63635824141395, -122.102178982579 37.63632435801836, -122.1022673875585 37.63618470475033, -122.1025257008032 37.63618202571713, -122.1025258283088 37.63618967675538, -122.1025278721357 37.63631244989887, -122.1022759659516 37.63631510164024, -122.1022759315317 37.63631515195391, -122.1022521965828 37.63635028890812, -122.10225231097 37.63635716909599, -122.1021504416901 37.63635824141395))",Alameda,441 010100200,800,multi,160440.0,0.0,2010.0,2008.0,2130.0,0.0,1.0,2.0,1.0, ,_,VT,423.181223392,273041,811.0,LDR,Hayward,1.0,-122.102360717,37.6362596508
"POLYGON ((-122.1176933646508 37.6478912754008, -122.1179336062249 37.64788611952751, -122.1179371408889 37.64800645405545, -122.1179372183486 37.64800908885267, -122.1179372217863 37.64800920662099, -122.1179303380576 37.64800935528471, -122.1179219601701 37.64800953703764, -122.1179152175427 37.64800968306353, -122.117696981208 37.64801440640188, -122.1176969810791 37.64801440047801, -122.1176969096994 37.64801196428022, -122.1176965689589 37.64800036517575, -122.1176941371027 37.64791756902693, -122.1176938027918 37.64790620511648, -122.1176933646508 37.6478912754008))",Alameda,441 010004200,1800,,0.0,133000.0,2010.0,2010.0,1998.0,1998.0,0.0,2.0,0.0, ,_,HS,289.836596498,273028,811.0,MDR,Hayward,1.0,-122.117815286,37.6479502522
"POLYGON ((-122.1176015550273 37.64789324529532, -122.1176933646508 37.6478912754008, -122.1176938027918 37.64790620511648, -122.1176941371027 37.64791756902693, -122.1176965689589 37.64800036517575, -122.1176969096994 37.64801196428022, -122.1176969810791 37.64801440047801, -122.117696981208 37.64801440640188, -122.1176859755748 37.64801464447515, -122.1175660090791 37.64801724118502, -122.1174567410571 37.64801960673171, -122.1174566784667 37.64801747366617, -122.1174563431084 37.64800605992509, -122.1174531239124 37.64789643042318, -122.1174711311748 37.64789604385732, -122.1176015550273 37.64789324529532))",Alameda,441 010004100,800,multi,0.0,133000.0,2010.0,2008.0,1998.0,0.0,1.0,2.0,1.0, ,_,VT,289.940833497,273027,811.0,MDR,Hayward,1.0,-122.117575045,37.6479554298
"POLYGON ((-122.1174507463282 37.64781547291289, -122.1174620648345 37.64781523021257, -122.1176143604881 37.64781196197604, -122.117690987236 37.64781031754077, -122.1176933646508 37.6478912754008, -122.1176015550273 37.64789324529532, -122.1174711311748 37.64789604385732, -122.1174531239124 37.64789643042318, -122.1174507463282 37.64781547291289))",Alameda,441 010004000,1800,,137534.0,0.0,2010.0,2010.0,1990.0,1990.0,0.0,3.0,0.0, ,_,HS,190.598279045,273026,811.0,MDR,Hayward,1.0,-122.117572056,37.6478533741
