geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-121.6671165049499 37.16301704970167, -121.6677976000252 37.162537315181, -121.6690991143682 37.1616205614151, -121.6701017155289 37.16091432695995, -121.6708034998455 37.16042001888346, -121.6721603346722 37.15946429249971, -121.6727018092172 37.15994855333189, -121.6731363499537 37.1603395789379, -121.6681031601214 37.16390254656774, -121.6671165049499 37.16301704970167))",Santa Clara,72501025,AFAR,,0.0,0.0,2000.0,,0.0,0.0,0.0,0.0,0.0,000000LAND ONLY95124,_,VA,78149.9637082,1693358,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.670124578,37.1616840668
"POLYGON ((-121.6681031601214 37.16390254656774, -121.6731363499537 37.1603395789379, -121.6747711675544 37.16181064552988, -121.6720976202036 37.16375454839717, -121.6697966658372 37.16542235609085, -121.6681031601214 37.16390254656774))",Santa Clara,72501024,AFAR,,0.0,0.0,2000.0,,0.0,0.0,0.0,0.0,0.0,000000MONTEREY95037,_,VA,132672.796063,1693357,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.671438086,37.1628792223
"POLYGON ((-121.6672474150287 37.16205320886532, -121.6684896809237 37.16107627366519, -121.6690991143682 37.1616205614151, -121.6677976000252 37.162537315181, -121.6672474150287 37.16205320886532))",Santa Clara,72501011,RSFR,single,426123.28,674401.72,1999.0,1974.0,3071.0,0.0,1.0,1.0,0.0,000575BAUMAN95037,_,HS,11858.1748075,1693353,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.668169961,37.161812982
"POLYGON ((-121.6667061812871 37.16157698014973, -121.6679421722972 37.1605872780081, -121.6684896809237 37.16107627366519, -121.6672474150287 37.16205320886532, -121.6667061812871 37.16157698014973))",Santa Clara,72501010,RSFR,single,72835.2603,134731.7397,1976.0,1974.0,1785.0,0.0,1.0,1.0,0.0,000585BAUMAN95037,_,HS,11171.3723684,1693352,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.667598209,37.161321706
"POLYGON ((-121.6666863914414 37.16155956337708, -121.6661548865143 37.16109188242709, -121.6673998387726 37.1601029041441, -121.6679421722972 37.1605872780081, -121.6667061812871 37.16157698014973, -121.6666863914414 37.16155956337708))",Santa Clara,72501009,RSFR,single,155892.9142,220569.0858,1985.0,1975.0,2832.0,0.0,1.0,1.0,0.0,000595BAUMAN95037,_,HS,11259.9287471,1693351,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.667049729,37.1608403258
"POLYGON ((-121.6656333745462 37.16063298749292, -121.6658098608751 37.16049138348276, -121.6668796972129 37.15964393066277, -121.6669295318117 37.15968284905211, -121.6673998387726 37.1601029041441, -121.6661548865143 37.16109188242709, -121.6656333745462 37.16063298749292))",Santa Clara,72501008,RSFR,single,302419.9632,621564.0368,1989.0,1976.0,3908.0,0.0,1.0,1.0,0.0,000605BAUMAN95037,_,HS,10735.271505,1693350,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.666517107,37.160367225
"POLYGON ((-121.6650256255038 37.16111838838914, -121.6651899042749 37.16098880443589, -121.6656333745462 37.16063298749292, -121.6661548865143 37.16109188242709, -121.6666863914414 37.16155956337708, -121.6661305952309 37.1619981757405, -121.6650256255038 37.16111838838914))",Santa Clara,72501007,RSFR,single,333325.98,374974.02,2004.0,1978.0,2036.0,0.0,1.0,1.0,0.0,000615BURNETT95037,_,HS,10088.5160357,1693349,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.665860873,37.1613201942
"POLYGON ((-121.66548663647 37.16240334926162, -121.6651687802318 37.16214458682153, -121.6644637626007 37.16157973573615, -121.6645951120527 37.16145797603172, -121.6650256255038 37.16111838838914, -121.6661305952309 37.1619981757405, -121.6661089203716 37.16201528182834, -121.6655894066018 37.16248701122285, -121.66548663647 37.16240334926162))",Santa Clara,72501006,RSFR,single,180637.9919,219269.0081,1995.0,1978.0,2198.0,0.0,1.0,1.0,0.0,000625BURNETT95037,_,HS,10093.8489989,1693348,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.665300022,37.1617953585
"POLYGON ((-121.6655894066018 37.16248701122285, -121.6661089203716 37.16201528182834, -121.6661305952309 37.1619981757405, -121.6666863914414 37.16155956337708, -121.6667061812871 37.16157698014973, -121.6672474150287 37.16205320886532, -121.6677976000252 37.162537315181, -121.6671165049499 37.16301704970167, -121.6665236417996 37.16343717409358, -121.6662736529586 37.16322140897964, -121.6660982660924 37.16301548323817, -121.6658573254583 37.16271876419254, -121.6657308547811 37.16260216289884, -121.6655894066018 37.16248701122285))",Santa Clara,72501005,AMSC,,273526.0076,183645.9924,1983.0,,0.0,0.0,0.0,0.0,0.0,000635PRATT95037,_,VA,20633.5229035,1693347,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.666661985,37.1625014565
"POLYGON ((-121.664872457404 37.16290349661046, -121.66548663647 37.16240334926162, -121.6655894066018 37.16248701122285, -121.6657308547811 37.16260216289884, -121.6658573254583 37.16271876419254, -121.6660982660924 37.16301548323817, -121.6662736529586 37.16322140897964, -121.6665236417996 37.16343717409358, -121.6660587603977 37.16376660306299, -121.664872457404 37.16290349661046))",Santa Clara,72501004,RSFR,single,144805.9035,198743.0965,1984.0,1984.0,2317.0,0.0,1.0,2.0,0.0,000645PRATT95037,_,HS,9693.84397705,1693346,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.665702542,37.1630913979
"POLYGON ((-121.6638434115811 37.16215477989883, -121.6644637626007 37.16157973573615, -121.6651687802318 37.16214458682153, -121.66548663647 37.16240334926162, -121.664872457404 37.16290349661046, -121.6638434115811 37.16215477989883))",Santa Clara,72501003,RSFR,single,77592.5021,205488.4979,1979.0,1978.0,2006.0,0.0,1.0,1.0,0.0,000665BURNETT95037,_,HS,10234.4219802,1693345,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.664662485,37.1622530308
"POLYGON ((-121.6638434115811 37.16215477989883, -121.664872457404 37.16290349661046, -121.6660587603977 37.16376660306299, -121.6655551642872 37.16412345958885, -121.6687072412835 37.16644270848781, -121.6678638304871 37.16705018962322, -121.66362585212 37.16235497416794, -121.6638434115811 37.16215477989883))",Santa Clara,72501002,RSFR,single,89086.0568,73301.9432,1987.0,1940.0,1378.0,0.0,1.0,1.0,0.0,000825BURNETT95037,_,HS,38482.4522874,1693344,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.666280428,37.1647856351
"POLYGON ((-121.6721052906356 37.15573942624625, -121.6737791728389 37.15462298466797, -121.6745011600239 37.15531524167675, -121.6759967511462 37.15672440448432, -121.6743887508345 37.1578728435852, -121.6721052906356 37.15573942624625))",Santa Clara,72501026,VMSC,,415349.9886,92537.0114,1999.0,,0.0,0.0,0.0,0.0,0.0,000105BURNETT95037,_,VA,59287.7559433,1693359,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.674061465,37.1562409517
"POLYGON ((-121.6737791728389 37.15462298466797, -121.6737252254848 37.15456893461727, -121.6739099098142 37.15444469373001, -121.6739744182423 37.15450051654361, -121.6746574994409 37.15402551220586, -121.6746961816017 37.15401977395874, -121.6747822821779 37.15401704269359, -121.6754529578908 37.15466807133362, -121.6745011600239 37.15531524167675, -121.6737791728389 37.15462298466797))",Santa Clara,72501032,CMSC,,449069.378,402085.622,,1929.0,5780.0,5780.0,0.0,1.0,0.0,019500MONTEREY95037,_,RS,11235.7892444,1693363,700.0,709 - Commercial,Morgan Hill,1.0,-121.6746067,37.1546451678
"POLYGON ((-121.6687072412835 37.16644270848781, -121.6655551642872 37.16412345958885, -121.6660587603977 37.16376660306299, -121.6665236417996 37.16343717409358, -121.6671165049499 37.16301704970167, -121.6681031601214 37.16390254656774, -121.6697966658372 37.16542235609085, -121.6720976202036 37.16375454839717, -121.6747711675544 37.16181064552988, -121.6731363499537 37.1603395789379, -121.6727018092172 37.15994855333189, -121.6721603346722 37.15946429249971, -121.6743887508345 37.1578728435852, -121.6759967511462 37.15672440448432, -121.6769220558012 37.15606352118327, -121.6772536647087 37.15637834169154, -121.678670353149 37.15772413113016, -121.6797129682852 37.15873407990877, -121.6796758421143 37.15876010554386, -121.6784513040025 37.15961847993803, -121.6776562358857 37.16017578657188, -121.6772605878477 37.16045311393174, -121.6769937194692 37.16064017351076, -121.6763448982666 37.16110946971835, -121.6753346662108 37.16184016388944, -121.6743941081533 37.16252044066003, -121.6738523259051 37.16291228534995, -121.673384032272 37.16325342518948, -121.6722255936714 37.16409730486349, -121.6716951510139 37.16448370121655, -121.6701817940935 37.16558606001064, -121.6688566865018 37.16655266340376, -121.6687072412835 37.16644270848781))",Santa Clara,72501023,AFAR,,0.0,0.0,2002.0,,0.0,0.0,0.0,0.0,0.0,000000MONTEREY95037,_,VA,302590.844835,1693356,700.0,Agriculture Large Scale,Unincorporated Santa Clara,1.0,-121.67394824,37.1606362594
"POLYGON ((-121.6745011600239 37.15531524167675, -121.6754529578908 37.15466807133362, -121.6756754887596 37.15488001860691, -121.6769220558012 37.15606352118327, -121.6759967511462 37.15672440448432, -121.6745011600239 37.15531524167675))",Santa Clara,72501018,VMSC,,1986880.0,0.0,2000.0,,0.0,0.0,0.0,0.0,0.0,000000MONTEREY95037,_,VA,22527.7376835,1693355,700.0,709 - Commercial,Morgan Hill,1.0,-121.675716233,37.1556927595
"POLYGON ((-121.6702271468398 37.15775458489414, -121.670639129312 37.15743645780196, -121.6702166676062 37.15707203594545, -121.6701602785872 37.15701261422549, -121.6706032180498 37.15664661729387, -121.6720477230876 37.15568152082756, -121.6721052906356 37.15573942624625, -121.6743887508345 37.1578728435852, -121.6721603346722 37.15946429249971, -121.6711380253899 37.1585499849618, -121.6702271468398 37.15775458489414))",Santa Clara,72501015,RMFD,multi,10543691.13,525800.87,2004.0,1973.0,4734.0,0.0,1.0,1.0,0.0,000275BURNETT95037,_,HM,83634.6231736,1693354,700.0,709 - Single Family Medium Density Residential,Morgan Hill,1.0,-121.672141627,37.1575785635
"POLYGON ((-121.6519195775637 37.13853358753629, -121.6519419127431 37.13850333421554, -121.652008117863 37.138426310853, -121.6520236628594 37.13841278797197, -121.6522610677387 37.13860640804362, -121.6521929057082 37.13866513205606, -121.652146696408 37.13872025060464, -121.6519195775637 37.13853358753629))",Santa Clara,72627125,RSFR,single,221032.0,338968.0,2004.0,2003.0,1733.0,0.0,1.0,1.0,0.0,000580CALLE BUENA95037,_,HS,472.040324083,1694975,700.0,709 - Single Family Medium Density Residential,Morgan Hill,1.0,-121.652086139,37.1385661455
