geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.4314117524296 37.79730353904813, -122.4314971859531 37.79729267244471, -122.4315382851705 37.79749604898613, -122.4314528502837 37.79750691563753, -122.4314117524296 37.79730353904813))",San Francisco,0542025,MIXRES,APTS,74610.0,111926.0,,1910.0,0.0,903.0,4.0,3.0,0.0, ,_,MR,174.193884549,898174,45.0,UNION STREET NEIGHBORHOOD COMMERCIAL-40-X,San Francisco,1.0,-122.431475019,37.7973997943
"POLYGON ((-122.4355131057143 37.79660798656094, -122.4357181441535 37.79658190035342, -122.4358206633072 37.79656885666552, -122.4359211460255 37.79655607252597, -122.4359352075815 37.79662551206105, -122.4358497676537 37.79663634325673, -122.4355271031695 37.79667724694658, -122.4355131057143 37.79660798656094))",San Francisco,0539005,RESIDENT,FLATS,175879.0,182917.0,1978.0,1905.0,3300.0,0.0,2.0,2.0,0.0, ,_,RT,283.715458131,898077,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.43572423,37.7966166936
"POLYGON ((-122.4354791507578 37.79643997485214, -122.4356842070336 37.79641398032678, -122.4356979085158 37.79648177206531, -122.4354928509223 37.7965077666328, -122.4354791507578 37.79643997485214))",San Francisco,0539007,RESIDENT,SINGLE,1250130.0,1284433.0,2004.0,1903.0,2650.0,0.0,1.0,2.0,0.0, ,_,RT,139.35472415,898078,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435588529,37.7964608735
"POLYGON ((-122.4354654494595 37.79637218218687, -122.4356705067117 37.79634618856723, -122.4356842070336 37.79641398032678, -122.4354791507578 37.79643997485214, -122.4354654494595 37.79637218218687))",San Francisco,0539008,RESIDENT,APTS,56317.0,73179.0,1973.0,1902.0,2748.0,0.0,5.0,3.0,0.0, ,_,RT,139.355577278,898079,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435574828,37.7963930815
"POLYGON ((-122.435451749345 37.79630439040137, -122.4356568052795 37.79627839682384, -122.4356705067117 37.79634618856723, -122.4354654494595 37.79637218218687, -122.435451749345 37.79630439040137))",San Francisco,0539009,RESIDENT,SINGLE,96865.0,180301.0,1977.0,1904.0,3100.0,0.0,1.0,3.0,0.0, ,_,RT,139.35461903,898080,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435561128,37.7963252895
"POLYGON ((-122.4356431049841 37.79621060415858, -122.4356568052795 37.79627839682384, -122.435451749345 37.79630439040137, -122.4354380492554 37.79623659861343, -122.4356431049841 37.79621060415858))",San Francisco,0539010,RESIDENT,SINGLE,1620813.0,1080542.0,2004.0,1900.0,3650.0,0.0,1.0,4.0,0.0, ,_,RT,139.355074409,898081,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435547427,37.7962574975
"POLYGON ((-122.4361557448482 37.79614561779367, -122.436241185302 37.79613478635671, -122.4363161726809 37.79650581361055, -122.4362628762074 37.79651259443293, -122.436230740768 37.79651668370637, -122.4361557448482 37.79614561779367))",San Francisco,0539015,RESIDENT,SINGLE,373080.0,743199.0,1987.0,1922.0,2362.0,0.0,1.0,2.0,0.0, ,_,RT,317.805755834,898082,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.43623596,37.7963257251
"POLYGON ((-122.4355271031695 37.79667724694658, -122.4358497676537 37.79663634325673, -122.4358634953681 37.79670413184212, -122.4355408033982 37.79674503781784, -122.4355271031695 37.79667724694658))",San Francisco,0539004,RESIDENT,FLATS,1074178.0,1044340.0,1999.0,1903.0,2800.0,0.0,2.0,2.0,0.0, ,_,RT,219.287170635,898076,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435695293,37.7966906904
"POLYGON ((-122.436241185302 37.79613478635671, -122.4364141534884 37.79611285830791, -122.4364686803102 37.79638210725287, -122.4364824085426 37.79644989576933, -122.4364892732241 37.79648378956694, -122.4364337411483 37.79649085501499, -122.4363483092697 37.79650172519599, -122.4363161726809 37.79650581361055, -122.436241185302 37.79613478635671))",San Francisco,0539015A,RESIDENT,APTS,455202.0,980463.0,1991.0,1900.0,8528.0,0.0,12.0,3.0,0.0, ,_,RT,643.552712749,898083,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436365198,37.7963093388
"POLYGON ((-122.4365850331087 37.79609119591698, -122.4366704722785 37.79608036328665, -122.4367249776992 37.79634949712526, -122.4366395448906 37.79636036753622, -122.4365850331087 37.79609119591698))",San Francisco,0539017,RESIDENT,APTS,1065000.0,710000.0,2008.0,1900.0,3958.0,0.0,5.0,2.0,0.0, ,_,RT,230.544553599,898085,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436655006,37.7962203564
"POLYGON ((-122.4367554779222 37.79606958728144, -122.4368498958939 37.79605761751191, -122.4369043850751 37.79632667043631, -122.4367626540384 37.79634470388189, -122.4367249776992 37.79634949712526, -122.4366704722785 37.79608036328665, -122.4367554779222 37.79606958728144))",San Francisco,0539018,RESIDENT,APTS,2350231.0,1957700.0,2007.0,1909.0,13800.0,0.0,11.0,3.0,0.0, ,_,RT,484.035992815,898086,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436787428,37.7962035379
"POLYGON ((-122.4367626540384 37.79634470388189, -122.4369043850751 37.79632667043631, -122.436918113695 37.79639445890272, -122.436764461804 37.79641400934043, -122.4364824085426 37.79644989576933, -122.4364686803102 37.79638210725287, -122.4366395448906 37.79636036753622, -122.4367249776992 37.79634949712526, -122.4367626540384 37.79634470388189))",San Francisco,0539019,RESIDENT,SINGLE,70311.0,85204.0,1968.0,1900.0,2816.0,0.0,1.0,2.0,0.0, ,_,RT,296.130398549,898087,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436693397,37.7963882833
"POLYGON ((-122.4365260388616 37.79651387944948, -122.4365191741606 37.79647998565422, -122.4364892732241 37.79648378956694, -122.4364824085426 37.79644989576933, -122.436764461804 37.79641400934043, -122.436918113695 37.79639445890272, -122.43693184234 37.79646224736676, -122.4367662695496 37.79648331389728, -122.4365260388616 37.79651387944948))",San Francisco,0539020,RESIDENT,SINGLE,69473.0,69094.0,1968.0,1900.0,2402.0,0.0,1.0,2.0,0.0, ,_,RT,285.966162898,898088,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436714213,37.7964545521
"POLYGON ((-122.4367662695496 37.79648331389728, -122.43693184234 37.79646224736676, -122.4369455721453 37.79653003580965, -122.436768077322 37.79655261935404, -122.4366251991367 37.79657079853892, -122.436539766059 37.79658166887707, -122.4365260388616 37.79651387944948, -122.4367662695496 37.79648331389728))",San Francisco,0539021,RESIDENT,SINGLE,68517.0,49500.0,,1902.0,1970.0,0.0,1.0,2.0,0.0, ,_,RT,275.808446611,898089,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436735805,37.7965219579
"POLYGON ((-122.436768077322 37.79655261935404, -122.4369455721453 37.79653003580965, -122.4369593008404 37.79659782426882, -122.4367698850978 37.79662192480989, -122.436638927547 37.79663858703481, -122.4366251991367 37.79657079853892, -122.436768077322 37.79655261935404))",San Francisco,0539022,RESIDENT,FLATS,89506.0,82153.0,1975.0,1905.0,2000.0,0.0,2.0,2.0,0.0, ,_,RT,217.743372228,898090,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.43679225,37.7965843115
"POLYGON ((-122.4364141534884 37.79611285830791, -122.4365850331087 37.79609119591698, -122.4366395448906 37.79636036753622, -122.4364686803102 37.79638210725287, -122.4364141534884 37.79611285830791))",San Francisco,0539016,RESIDENT,APTS,492240.0,348705.0,,1964.0,11247.0,0.0,12.0,3.0,0.0, ,_,RT,461.186661688,898084,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436526849,37.7962366329
"POLYGON ((-122.4355408033982 37.79674503781784, -122.4358634953681 37.79670413184212, -122.4358772231076 37.79677192042501, -122.435554504834 37.79681283046973, -122.4355408033982 37.79674503781784))",San Francisco,0539003,RESIDENT,APTS,366332.0,264726.0,,1900.0,3850.0,0.0,3.0,2.0,0.0, ,_,RT,219.308269958,898075,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435709006,37.7967584806
"POLYGON ((-122.435554504834 37.79681283046973, -122.4358772231076 37.79677192042501, -122.4358909508722 37.79683970900548, -122.4357884210536 37.79685270605963, -122.4355682051362 37.79688062223695, -122.435554504834 37.79681283046973))",San Francisco,0539002,RESIDENT,APTS,927426.0,618284.0,2004.0,1904.0,4800.0,0.0,3.0,2.0,0.0, ,_,RT,219.324189308,898074,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.435722721,37.7968262709
"POLYGON ((-122.4355682051362 37.79688062223695, -122.4357884210536 37.79685270605963, -122.4358086963661 37.79695282286319, -122.4355884601315 37.79698084214528, -122.4355682051362 37.79688062223695))",San Francisco,0539001,MIXRES,APTS,179396.0,193895.0,,1905.0,5760.0,0.0,7.0,3.0,0.0, ,_,MR,221.155508055,898072,45.0,UNION STREET NEIGHBORHOOD COMMERCIAL-40-X,San Francisco,1.0,-122.435688428,37.7969167521
"POLYGON ((-122.4367716928769 37.79669123026483, -122.4369730295605 37.79666561272546, -122.4369867583057 37.79673340117969, -122.436773500636 37.79676053481799, -122.4366663844425 37.79677416401928, -122.4366526571174 37.79670637550964, -122.4367716928769 37.79669123026483))",San Francisco,0539024,RESIDENT,SINGLE,1392300.0,596700.0,2009.0,1900.0,2500.0,0.0,1.0,3.0,0.0, ,_,RT,217.741506485,898091,45.0,"RESIDENTIAL- HOUSE, THREE FAMILY-40-X",San Francisco,1.0,-122.436819707,37.7967198884
"POLYGON ((-122.436773500636 37.79676053481799, -122.4369867583057 37.79673340117969, -122.437000487076 37.79680118963152, -122.4367753084219 37.79682984027109, -122.4366801140396 37.79684195158841, -122.4366663844425 37.79677416401928, -122.436773500636 37.79676053481799))",San Francisco,0539025,MIXRES,APTS,102399.0,249171.0,1971.0,1900.0,6348.0,2676.0,4.0,3.0,0.0, ,_,MR,217.742580308,898092,45.0,UNION STREET NEIGHBORHOOD COMMERCIAL-40-X,San Francisco,1.0,-122.436833436,37.7967876766
"POLYGON ((-122.4364337411483 37.79649085501499, -122.4364892732241 37.79648378956694, -122.4365191741606 37.79647998565422, -122.4365260388616 37.79651387944948, -122.436539766059 37.79658166887707, -122.4365946806579 37.79685282196586, -122.4365092472278 37.79686369138058, -122.4364337411483 37.79649085501499))",San Francisco,0539027,MIXRES,SINGLE,71386.0,70130.0,1967.0,1900.0,3060.0,2142.0,1.0,3.0,0.0, ,_,MR,319.355642561,898094,45.0,UNION STREET NEIGHBORHOOD COMMERCIAL-40-X,San Francisco,1.0,-122.436514211,37.7966718386
"POLYGON ((-122.4324871485064 37.79661063005666, -122.4325794249869 37.79659893494333, -122.4326547392833 37.79697160266191, -122.4325624713769 37.79698333914136, -122.4324871485064 37.79661063005666))",San Francisco,0541006,RESIDENT,FLATS,270723.0,360975.0,,1880.0,3378.0,0.0,2.0,2.0,0.0, ,_,RT,344.748303018,898142,45.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.432570945,37.7967911267
"POLYGON ((-122.4326648664838 37.79658810609818, -122.4327503068206 37.79657727720966, -122.4328256074716 37.79694986845463, -122.4327401734017 37.79696073603961, -122.4326648664838 37.79658810609818))",San Francisco,0541008,RESIDENT,APTS,463869.0,386548.0,,1912.0,5300.0,0.0,5.0,2.0,0.0, ,_,RT,319.145097328,898143,45.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.432745238,37.7967689976
"POLYGON ((-122.4328357482677 37.79656644824068, -122.4329211885781 37.79655562012921, -122.4329964744248 37.79692813401826, -122.4329110404048 37.7969390017271, -122.4328357482677 37.79656644824068))",San Francisco,0541010,RESIDENT,APTS,306021.0,948024.0,1989.0,1905.0,3788.0,0.0,4.0,3.0,0.0, ,_,RT,319.079018957,898144,45.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.432916112,37.7967473017
"POLYGON ((-122.4330066299753 37.79654479103632, -122.4330920702124 37.7965339619002, -122.4331500780636 37.79682098206391, -122.433064644166 37.79683184898344, -122.4330066299753 37.79654479103632))",San Francisco,0541011A,RESIDENT,APTS,530640.0,477575.0,1983.0,1923.0,5367.0,0.0,6.0,3.0,0.0, ,_,RT,245.852021255,898145,45.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.433078355,37.7966828965
"POLYGON ((-122.4331775115599 37.7965231326835, -122.4332629517472 37.79651230342349, -122.4333209446252 37.79679924715693, -122.4332355107775 37.79681011420031, -122.4331775115599 37.7965231326835))",San Francisco,0541012A,RESIDENT,FLATS,339127.0,483753.0,,1951.0,3910.0,0.0,2.0,2.0,0.0, ,_,RT,245.786609219,898146,45.0,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",San Francisco,1.0,-122.433249229,37.7966611998
