geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.2534734480345 37.8519129215395, -122.253077194623 37.85196553701721, -122.253062267367 37.85182829042724, -122.2534448554873 37.85177749083419, -122.2534734480345 37.8519129215395))",Alameda,016 141001602,0,,,,,,,,0.0,,0.0, ,_,,529.553549194,22203,1003.0,Mixed Housing Type,Oakland,1.0,-122.253264505,37.8518714587
"POLYGON ((-122.2617870011726 37.85450154934234, -122.2620770616573 37.85446219478948, -122.262089149329 37.85446064340741, -122.2621091354082 37.85457296052723, -122.2618104364424 37.85461312555457, -122.2617870011726 37.85450154934234))",Alameda,052 157602100,1100,single,94630.0,220804.0,1998.0,1909.0,1574.0,0.0,1.0,1.5,0.0, ,_,HS,337.189606417,105479,1003.0,R-2,Berkeley,1.0,-122.261948983,37.8545369297
"POLYGON ((-122.2615978622139 37.85426883323169, -122.2615939174466 37.85424829405966, -122.262022120026 37.85419107781483, -122.2620513079898 37.85432592678541, -122.2616231497027 37.85438518853414, -122.2615978622139 37.85426883323169))",Alameda,052 157601900,1100,single,88792.0,28778.0,1979.0,1902.0,1478.0,0.0,1.0,1.0,0.0, ,_,HS,585.116441858,105477,1003.0,R-2,Berkeley,1.0,-122.261821993,37.8542877097
"POLYGON ((-122.2615705244213 37.8541387747469, -122.2619986916108 37.85407950187856, -122.262022120026 37.85419107781483, -122.2615939174466 37.85424829405966, -122.2615705244213 37.8541387747469))",Alameda,052 157601800,2500,multi,45774.0,12724.0,2006.0,1910.0,1724.0,0.0,2.0,0.0,0.0, ,_,HT,475.625944546,105476,1003.0,R-2,Berkeley,1.0,-122.261796958,37.8541643158
"POLYGON ((-122.2617917435114 37.85375297446041, -122.261929816707 37.85373237511068, -122.2619785946989 37.85396306043273, -122.2618369926248 37.85398096896505, -122.2617917435114 37.85375297446041))",Alameda,052 157601600,1100,single,73356.0,171165.0,2009.0,1911.0,1952.0,0.0,1.0,2.0,0.0, ,_,HS,322.066012993,105475,1003.0,R-2,Berkeley,1.0,-122.261884525,37.8538577189
"POLYGON ((-122.2616536854646 37.85377495547852, -122.2617917435114 37.85375297446041, -122.2618369926248 37.85398096896505, -122.261698850354 37.85399882777111, -122.2616536854646 37.85377495547852))",Alameda,052 157601500,1100,single,125656.0,29516.0,2003.0,1908.0,1442.0,0.0,1.0,0.0,0.0, ,_,HS,313.533749741,105474,1003.0,R-2,Berkeley,1.0,-122.261745503,37.853876804
"POLYGON ((-122.2615120313056 37.85379080613146, -122.2616536854646 37.85377495547852, -122.261698850354 37.85399882777111, -122.261700809929 37.85400840948144, -122.2615471258894 37.85402855768468, -122.2615120313056 37.85379080613146))",Alameda,052 157601400,2400,multi,103908.0,254017.0,2006.0,1910.0,3815.0,0.0,4.0,2.0,0.0, ,_,HT,346.99737911,105473,1003.0,R-2,Berkeley,1.0,-122.261603552,37.8539023615
"POLYGON ((-122.261370487956 37.85381145643208, -122.2615120313056 37.85379080613146, -122.2615471258894 37.85402855768468, -122.2614193453855 37.85404557761405, -122.261370487956 37.85381145643208))",Alameda,052 157601300,1100,single,131617.0,34509.0,2007.0,1908.0,1516.0,0.0,1.0,1.5,0.0, ,_,HS,318.029363402,105472,1003.0,R-2,Berkeley,1.0,-122.261461962,37.8539170357
"POLYGON ((-122.2565297697847 37.85683501190169, -122.2567370019045 37.85680720903159, -122.2567603223626 37.85691467300674, -122.2565495537618 37.85693841654199, -122.2565297697847 37.85683501190169))",Alameda,052 157001900,2200,multi,126347.0,294897.0,2002.0,1924.0,2053.0,0.0,2.0,2.0,0.0, ,_,HT,220.635963855,105271,1003.0,R-2A,Berkeley,1.0,-122.256644909,37.8568738493
"POLYGON ((-122.2565042536467 37.85670767443883, -122.2567115068754 37.85668192886514, -122.2567370019045 37.85680720903159, -122.2565297697847 37.85683501190169, -122.2565042536467 37.85670767443883))",Alameda,052 157001800,2200,multi,104800.0,244534.0,1992.0,1923.0,2192.0,0.0,2.0,2.0,0.0, ,_,HT,262.321320347,105270,1003.0,R-2A,Berkeley,1.0,-122.256620362,37.856758011
