geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.2191170087377 38.0959777559016, -122.2191535243935 38.09598832731283, -122.2191944241735 38.09601836159055, -122.219186185011 38.09602163468475, -122.2191688476574 38.0960346663593, -122.2191529065266 38.09605110599971, -122.2191154445164 38.09603473579106, -122.2191170087377 38.0959777559016))",Solano,71302420,9700,,0.0,0.0,,,0.0,0.0,,,0.0, ,_,VAC,33.2668915638,1764341,1228.0,,Unincorporated Solano,1.0,-122.219145862,38.0960149187
"POLYGON ((-122.2178053582268 38.09576229777763, -122.2180301611476 38.09575837820307, -122.2180385110425 38.0961085760581, -122.2177980244585 38.09611047278882, -122.2178053582268 38.09576229777763))",Solano,71310270,1000,single,23000.0,203000.0,,1980.0,1638.0,0.0,1.0,,0.0, ,_,HS,790.892178204,1764372,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.21791814,38.095936891
"POLYGON ((-122.2130384474497 38.0895972162406, -122.2130870972656 38.08946435349614, -122.2134330261596 38.08954802017298, -122.2133882375786 38.08967509639412, -122.2130384474497 38.0895972162406))",Solano,74080190,9700,,0.0,0.0,,,0.0,0.0,,,0.0, ,_,VAC,476.932200562,1766792,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.213235308,38.0895709033
"POLYGON ((-122.2175994692337 38.08981136015051, -122.2175349182795 38.08979936936191, -122.2175590171589 38.08972690067856, -122.217598524293 38.08962041185146, -122.2177230921634 38.08964572201142, -122.2177352690851 38.08960962307556, -122.2179909496491 38.08966505407695, -122.2179182451068 38.08987425372412, -122.2175994692337 38.08981136015051))",Solano,74060600,1000,single,31000.0,69000.0,,1988.0,1056.0,0.0,1.0,,0.0, ,_,HS,799.818474584,1766735,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.217768315,38.0897369513
"POLYGON ((-122.2183580818918 38.08955449764046, -122.2180582716922 38.08947481423805, -122.2180720573103 38.08943840573788, -122.2182438091072 38.08901029091754, -122.2182913009589 38.08902120587151, -122.21817786975 38.08934504543314, -122.2184029311706 38.08939881845453, -122.2184088941266 38.08937494961499, -122.2187101514325 38.08942865741618, -122.2187039752809 38.08951567246966, -122.2186986472547 38.08962944231687, -122.2183580818918 38.08955449764046))",Solano,74060610,2100,multi,15876.0,186094.0,,,0.0,0.0,1.0,,0.0, ,_,HM,1265.79300857,1766736,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218380276,38.0894309599
"POLYGON ((-122.2176037099856 38.09185047536831, -122.2179942247977 38.09081212060415, -122.2184681618691 38.09090163368676, -122.2183738832158 38.09115698840038, -122.2182803819946 38.09141024401833, -122.218071494016 38.09195785201543, -122.2176037099856 38.09185047536831))",Solano,74060620,1100,multi,82983.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,5194.97062793,1766737,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218035789,38.0913808918
"POLYGON ((-122.2175279333734 38.09183291328266, -122.2177302403159 38.09127316505243, -122.2180368799988 38.09044003960373, -122.2185933470782 38.09056084060835, -122.2185735214713 38.09061626231954, -122.218501082331 38.09081247307709, -122.2184681618691 38.09090163368676, -122.2179942247977 38.09081212060415, -122.2176037099856 38.09185047536831, -122.2175821402843 38.091845525365, -122.2175683318973 38.09184235455617, -122.2175279333734 38.09183291328266))",Solano,74060630,1000,single,57106.0,199960.0,,1995.0,2831.0,0.0,1.0,,0.0, ,_,HS,2938.88013493,1766738,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218099876,38.0908693304
"POLYGON ((-122.2174797389798 38.09030636087587, -122.2174900849928 38.09028059993397, -122.2175262264695 38.0901692475771, -122.2174150004542 38.09014968867096, -122.217456769124 38.09001153555054, -122.2175219434531 38.090026075442, -122.2178218848281 38.09009272904805, -122.2177053526572 38.09035723533744, -122.2174797389798 38.09030636087587))",Solano,74060640,1100,multi,25885.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,829.894445416,1766739,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.217616471,38.0901760227
"POLYGON ((-122.2183738832158 38.09115698840038, -122.2184681618691 38.09090163368676, -122.2196106174694 38.09116870017449, -122.2194999408916 38.09132437761055, -122.2183738832158 38.09115698840038))",Solano,74060650,1100,multi,162365.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,2486.30419478,1766740,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218948076,38.091129252
"POLYGON ((-122.2193265401751 38.09149849160509, -122.2188250600504 38.09145356803027, -122.2188034533162 38.09145163250029, -122.2186297420312 38.09143788879881, -122.2182803819946 38.09141024401833, -122.2183738832158 38.09115698840038, -122.2194999408916 38.09132437761055, -122.2193733065401 38.09150250330236, -122.2193265401751 38.09149849160509))",Solano,74060660,2100,multi,60000.0,262000.0,,,0.0,0.0,1.0,,0.0, ,_,HM,2454.76731218,1766741,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218853878,38.0913434251
"POLYGON ((-122.2145509930465 38.09114895509197, -122.2148020276982 38.09052964749637, -122.2148924230489 38.09054973007276, -122.2149567381752 38.09056368115603, -122.2147174074125 38.09118996985048, -122.2145509930465 38.09114895509197))",Solano,74071020,1100,multi,79591.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,1063.02391079,1766743,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.214755173,38.0908624048
"POLYGON ((-122.2147174074125 38.09118996985048, -122.2149567381752 38.09056368115603, -122.2150749421743 38.09059023199899, -122.2151114480475 38.09059805763987, -122.2149011454941 38.09123129502495, -122.2147174074125 38.09118996985048))",Solano,74071030,1000,single,7164.0,41773.0,,1925.0,976.0,0.0,1.0,,0.0, ,_,HS,1120.2266697,1766744,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.214918439,38.0909048638
"POLYGON ((-122.2149011454941 38.09123129502495, -122.2151114480475 38.09059805763987, -122.2152731103422 38.09063379583561, -122.2151696655067 38.09093210155215, -122.2150566464801 38.0912668215125, -122.2149011454941 38.09123129502495))",Solano,74071040,1000,single,30320.0,84904.0,,1935.0,1248.0,0.0,1.0,,0.0, ,_,HS,1047.13166167,1766745,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.21508592,38.0909305121
"POLYGON ((-122.2178218848281 38.09009272904805, -122.2179182451068 38.08987425372412, -122.2179909496491 38.08966505407695, -122.2179942807722 38.0896554724213, -122.2180582716922 38.08947481423805, -122.2183580818918 38.08955449764046, -122.2182960674934 38.08972623203343, -122.2182343932175 38.08989350072612, -122.2181794789892 38.09003583761951, -122.2181267268681 38.0901755864091, -122.2178218848281 38.09009272904805))",Solano,74060570,1000,single,13189.0,145193.0,,1994.0,1844.0,0.0,1.0,,0.0, ,_,HS,1979.50682601,1766732,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218094613,38.0898255663
"POLYGON ((-122.219086209512 38.08991475572695, -122.2192093157554 38.08958322077719, -122.2194590029694 38.08964105975164, -122.2195728350159 38.08930984297518, -122.2196248709867 38.08932212223149, -122.219642221655 38.08932621670736, -122.2194793580286 38.08982266136563, -122.2196640095976 38.08986395468352, -122.2196036761309 38.09003473340693, -122.219086209512 38.08991475572695))",Solano,74060550,2100,multi,61858.0,72686.0,,,0.0,0.0,1.0,,0.0, ,_,HM,1735.7386375,1766731,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.219390348,38.0897710918
"POLYGON ((-122.2177053526572 38.09035723533744, -122.2178218848281 38.09009272904805, -122.2181267268681 38.0901755864091, -122.2180368799988 38.09044003960373, -122.2177053526572 38.09035723533744))",Solano,74060370,1000,single,7533.0,36433.0,,1952.0,1550.0,0.0,1.0,,0.0, ,_,HS,902.556287632,1766720,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.21792142,38.0902679085
"POLYGON ((-122.2178212684324 38.08938622585231, -122.217988204281 38.08895156499836, -122.2182438091072 38.08901029091754, -122.2180720573103 38.08943840573788, -122.2178212684324 38.08938622585231))",Solano,74060390,1000,single,32000.0,118000.0,,1953.0,1320.0,0.0,1.0,,0.0, ,_,HS,1154.89686002,1766721,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218031467,38.0891956021
"POLYGON ((-122.2177352690851 38.08960962307556, -122.2177696766624 38.08950921717968, -122.2178212684324 38.08938622585231, -122.2180720573103 38.08943840573788, -122.2180582716922 38.08947481423805, -122.2179942807722 38.0896554724213, -122.2179909496491 38.08966505407695, -122.2177352690851 38.08960962307556))",Solano,74060400,1000,single,25146.0,135865.0,,1990.0,1215.0,0.0,1.0,,0.0, ,_,HS,602.308858931,1766722,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.217903732,38.0895250979
"POLYGON ((-122.2175219434531 38.090026075442, -122.2175994692337 38.08981136015051, -122.2179182451068 38.08987425372412, -122.2178218848281 38.09009272904805, -122.2175219434531 38.090026075442))",Solano,74060420,1000,single,5735.0,14340.0,,1951.0,625.0,0.0,1.0,,0.0, ,_,HS,707.216738154,1766723,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.217716606,38.0899503492
"POLYGON ((-122.219642221655 38.08932621670736, -122.219751947259 38.08935210411771, -122.2198376877969 38.08937233228536, -122.2196640095976 38.08986395468352, -122.2194793580286 38.08982266136563, -122.219642221655 38.08932621670736))",Solano,74060450,2100,multi,104615.0,69743.0,,1938.0,750.0,0.0,1.0,,0.0, ,_,HM,985.799627016,1766724,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.219656602,38.089593773
"POLYGON ((-122.2181794789892 38.09003583761951, -122.2182343932175 38.08989350072612, -122.2186645396385 38.08998922986511, -122.2186488656568 38.09012749689255, -122.218645995688 38.09014362761244, -122.2181794789892 38.09003583761951))",Solano,74060460,1000,single,6692.0,37251.0,,1938.0,1245.0,0.0,1.0,,0.0, ,_,HS,684.725928126,1766725,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218431981,38.0900168542
"POLYGON ((-122.2182343932175 38.08989350072612, -122.2182960674934 38.08972623203343, -122.2186845217067 38.08981292742474, -122.2186645396385 38.08998922986511, -122.2182343932175 38.08989350072612))",Solano,74060470,1100,multi,12646.0,0.0,,,0.0,0.0,1.0,,0.0, ,_,VT,720.835709975,1766726,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218469486,38.0898569179
"POLYGON ((-122.2184088941266 38.08937494961499, -122.2185121667277 38.08907196262655, -122.2185202428425 38.08907381707809, -122.2187319924932 38.08912106201706, -122.2187101514325 38.08942865741618, -122.2184088941266 38.08937494961499))",Solano,74060490,1000,single,8367.0,11723.0,,1951.0,512.0,0.0,1.0,,0.0, ,_,HS,805.695732853,1766727,1228.0,Low (2 to 7 units per acre),Unincorporated Solano,1.0,-122.218588434,38.0892567458
