geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.4293452748182 37.72664921216911, -122.4294786297408 37.72647255515024, -122.4295527205726 37.72650792334709, -122.4294193668735 37.72668457952938, -122.4293452748182 37.72664921216911))",San Francisco,5955007C,RESIDENT,SINGLE,154605.0,121737.0,1998.0,1922.0,1000.0,0.0,1.0,1.0,0.0, ,_,RT,174.194198893,1006552,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429448998,37.7265785676
"POLYGON ((-122.4294193668735 37.72668457952938, -122.4295527205726 37.72650792334709, -122.4296268126091 37.72654329147856, -122.4295307962602 37.72667048342233, -122.4294934578885 37.72671994776223, -122.4294193668735 37.72668457952938))",San Francisco,5955008,RESIDENT,SINGLE,63080.0,102521.0,,1924.0,1340.0,0.0,1.0,1.0,0.0, ,_,RT,174.193219127,1006553,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429523089,37.7266139352
"POLYGON ((-122.4295307962602 37.72667048342233, -122.4296268126091 37.72654329147856, -122.4297009035586 37.72657865868099, -122.429654673604 37.72663989995191, -122.4296048884483 37.72670585156665, -122.4295307962602 37.72667048342233))",San Francisco,5955009,RESIDENT,SINGLE,29225.0,43936.0,1976.0,1924.0,1050.0,0.0,1.0,1.0,0.0, ,_,RT,125.419579017,1006554,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.42961585,37.7266245715
"POLYGON ((-122.4296048884483 37.72670585156665, -122.429654673604 37.72663989995191, -122.4298769481502 37.72674600224683, -122.429827163144 37.72681195485518, -122.4296048884483 37.72670585156665))",San Francisco,5955009A,RESIDENT,SINGLE,65626.0,114864.0,,1912.0,1272.0,0.0,1.0,1.0,0.0, ,_,RT,195.097177294,1006555,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429740919,37.7267259273
"POLYGON ((-122.429654673604 37.72663989995191, -122.4297009035586 37.72657865868099, -122.429923178011 37.72668476179058, -122.4298769481502 37.72674600224683, -122.429654673604 37.72663989995191))",San Francisco,5955009B,RESIDENT,SINGLE,21686.0,20971.0,,1924.0,1404.0,0.0,1.0,1.0,0.0, ,_,RT,181.161810177,1006556,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429788926,37.7266623306
"POLYGON ((-122.4294490057882 37.72677883286141, -122.4294934578885 37.72671994776223, -122.4295307962602 37.72667048342233, -122.4296048884483 37.72670585156665, -122.429827163144 37.72681195485518, -122.429745372925 37.72692030359666, -122.4294490057882 37.72677883286141))",San Francisco,5955010,RESIDENT,SINGLE,112034.0,140048.0,1991.0,1900.0,1252.0,0.0,1.0,1.0,0.0, ,_,RT,427.35474582,1006557,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429638085,37.7267953937
"POLYGON ((-122.4292711839443 37.72661384384261, -122.4294045390028 37.72643718780743, -122.4294786297408 37.72647255515024, -122.4293452748182 37.72664921216911, -122.4292711839443 37.72661384384261))",San Francisco,5955007B,RESIDENT,SINGLE,35506.0,33528.0,1975.0,1923.0,1000.0,0.0,1.0,1.0,0.0, ,_,RT,174.193433844,1006551,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429374907,37.7265431999
"POLYGON ((-122.4293601025339 37.72689660388993, -122.4294045547751 37.72683771882549, -122.4294490057882 37.72677883286141, -122.429745372925 37.72692030359666, -122.4296564688369 37.72703807486471, -122.4293601025339 37.72689660388993))",San Francisco,5955010A,RESIDENT,SINGLE,400000.0,275000.0,2006.0,1915.0,1320.0,0.0,1.0,1.0,0.0, ,_,RT,464.51750494,1006558,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429552738,37.7269084539
"POLYGON ((-122.4292711978638 37.72701437486775, -122.4293156502224 37.72695548893706, -122.4296120178331 37.72709696090453, -122.4295675656013 37.72715584604481, -122.4292711978638 37.72701437486775))",San Francisco,5955011A,RESIDENT,SINGLE,385000.0,165000.0,2005.0,1923.0,1050.0,0.0,1.0,1.0,0.0, ,_,RT,232.259946341,1006560,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429441608,37.7270556676
"POLYGON ((-122.4292267465455 37.72707325986162, -122.4292711978638 37.72701437486775, -122.4295675656013 37.72715584604481, -122.4295231133224 37.72721473206859, -122.4292267465455 37.72707325986162))",San Francisco,5955011B,RESIDENT,SINGLE,22044.0,22408.0,,1925.0,1300.0,0.0,1.0,1.0,0.0, ,_,RT,232.258811821,1006561,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429397156,37.7271145534
"POLYGON ((-122.429137842587 37.72719103071685, -122.4291822951803 37.72713214573906, -122.429478662084 37.72727361715558, -122.4294342096643 37.72733250314467, -122.429137842587 37.72719103071685))",San Francisco,5955011C,RESIDENT,SINGLE,22034.0,18090.0,,1925.0,1125.0,0.0,1.0,1.0,0.0, ,_,RT,232.259300956,1006562,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429308253,37.7272323243
"POLYGON ((-122.4290933899233 37.7272499156773, -122.429137842587 37.72719103071685, -122.4294342096643 37.72733250314467, -122.4293897571507 37.72739138821561, -122.4290933899233 37.7272499156773))",San Francisco,5955011D,RESIDENT,SINGLE,322966.0,215310.0,2000.0,1925.0,1125.0,0.0,1.0,1.0,0.0, ,_,RT,232.258213774,1006563,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.4292638,37.7272912094
"POLYGON ((-122.4291822951803 37.72713214573906, -122.4292267465455 37.72707325986162, -122.4295231133224 37.72721473206859, -122.429478662084 37.72727361715558, -122.4291822951803 37.72713214573906))",San Francisco,5955011E,RESIDENT,SINGLE,98538.0,71243.0,1973.0,1925.0,1125.0,0.0,1.0,1.0,0.0, ,_,RT,232.257677294,1006564,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429352704,37.7271734386
"POLYGON ((-122.4286933174343 37.72777988397131, -122.4287377695743 37.72772099828457, -122.4290341391139 37.72786247078708, -122.4289896859899 37.72792135660281, -122.4286933174343 37.72777988397131))",San Francisco,5955012,RESIDENT,SINGLE,179027.0,179027.0,1990.0,1913.0,1150.0,0.0,1.0,2.0,0.0, ,_,RT,232.259899013,1006565,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.428863728,37.7278211775
"POLYGON ((-122.4293156502224 37.72695548893706, -122.4293601025339 37.72689660388993, -122.4296564688369 37.72703807486471, -122.4296120178331 37.72709696090453, -122.4293156502224 37.72695548893706))",San Francisco,5955011,RESIDENT,SINGLE,175000.0,114416.0,1993.0,1923.0,1140.0,0.0,1.0,1.0,0.0, ,_,RT,232.258811751,1006559,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.42948606,37.7269967822
"POLYGON ((-122.4291970931408 37.72657847546933, -122.4293304471778 37.72640181953558, -122.4294045390028 37.72643718780743, -122.4292711839443 37.72661384384261, -122.4291970931408 37.72657847546933))",San Francisco,5955007A,RESIDENT,SINGLE,29225.0,43936.0,1976.0,1923.0,1100.0,0.0,1.0,1.0,0.0, ,_,RT,174.194484297,1006550,136.0,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",San Francisco,1.0,-122.429300816,37.7265078315
